,Name,Track_ID,Album,Artist,Artist_ID,Artist_Genre,Duration_ms,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Playlist,Mood,MoodR,ExplicitR
0,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,"['piano rock', 'pop', 'pop rock']",148485,97,False,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,Mood_Booster,Happy,1,0
2,Left and Right (Feat. Jung Kook of BTS),0mBP9X2gPCuapvpZ7TGDk3,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,"['dance pop', 'pop', 'viral pop']",154486,93,False,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,Mood_Booster,Happy,1,0
4,Sunroof,4h4QlmocP3IuwYEj2j14p8,Sunroof,Nicky Youre,7qmpXeNz2ojlMl2EEfkeLs,[],163025,93,False,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443,Mood_Booster,Happy,1,0
5,I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,Twelve Carat Toothache,Post Malone,246dkjvS1zLTtiykXe5h60,"['dfw rap', 'melodic rap', 'rap']",192840,92,True,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,Mood_Booster,Happy,1,1
6,Dandelions,2eAvDnpXP5W0cVtiI0PUxV,Safe Haven,Ruth B.,2WzaAvm2bBCf4pEhyuDgCY,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",233720,91,False,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,Mood_Booster,Happy,1,0
8,Hold Me Closer,72yP0DUlWPyH8P7IoxskwN,Hold Me Closer,Elton John,3PhoLpVuITZKcymswpck5b,"['glam rock', 'mellow gold', 'piano rock']",202245,90,False,0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041,Mood_Booster,Happy,1,0
9,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,Harry's House,Harry Styles,6KImCVD70vtIoJWnq6nGn3,['pop'],177954,93,False,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,Mood_Booster,Happy,1,0
10,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,"['australian hip hop', 'pop']",141805,89,True,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,Mood_Booster,Happy,1,1
11,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']",148197,89,False,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,Mood_Booster,Happy,1,0
12,Shivers,50nfwKoDiSYg8zOCREWAm5,=,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'uk pop']",207853,89,False,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,Mood_Booster,Happy,1,0
13,Numb,10xV5l9nhLvFpR8mqzs0bL,Numb,Marshmello,64KEffDW9EtZ1y2vBYgq8T,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",155588,88,False,0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,Mood_Booster,Happy,1,0
14,Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,Cold Heart (PNAU Remix),Elton John,3PhoLpVuITZKcymswpck5b,"['glam rock', 'mellow gold', 'piano rock']",202735,89,False,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,Mood_Booster,Happy,1,0
17,My Universe,3FeVmId7tL5YN8B7R3imoM,My Universe,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",228000,85,False,0.588,0.701,9,-6.39,1,0.0402,0.00813,0.0,0.2,0.443,104.988,Mood_Booster,Happy,1,0
19,Leave Before You Love Me (with Jonas Brothers),4qu63nuBpdn0qHUHuObEj1,Leave Before You Love Me,Marshmello,64KEffDW9EtZ1y2vBYgq8T,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",154983,86,False,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,Mood_Booster,Happy,1,0
20,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,Save Your Tears (Remix),The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']",191013,84,False,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,Mood_Booster,Happy,1,0
21,2 Be Loved (Am I Ready),2rmwqU7yzTvzkiaRV53DpT,Special,Lizzo,56oDRnqbIiwx4mymNEv7dS,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",187107,84,False,0.721,0.769,7,-4.111,1,0.105,0.0922,0.0,0.0817,0.915,155.932,Mood_Booster,Happy,1,0
22,Victoria’s Secret,4svaKoxMMP7ImmKrD5hfQu,Victoria’s Secret,Jax,7DQYAz99eM3Y5PkP9WtUew,['gen z singer-songwriter'],176124,83,True,0.586,0.556,6,-7.639,1,0.0592,0.00655,0.0,0.0836,0.517,167.018,Mood_Booster,Happy,1,1
23,Sunshine,5r43qanLhUCdBj8HN3fa6B,Sunshine,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,"['piano rock', 'pop', 'pop rock']",163854,83,False,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069,Mood_Booster,Happy,1,0
24,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,5H6xmHXjsq98NLbEjuE29f,"['dance pop', 'pop', 'pop dance', 'scandipop', 'tropical house']",160656,83,False,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,Mood_Booster,Happy,1,0
25,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,Dopamine,BØRNS,1KP6TWI40m7p3QBTU6u2xo,"['modern rock', 'pop']",218106,83,False,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,Mood_Booster,Happy,1,0
26,Summer of Love (Shawn Mendes & Tainy),0z8hI3OPS8ADPWtoCjjLl6,Summer Of Love,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'dance pop', 'pop', 'viral pop']",184104,82,False,0.776,0.808,11,-4.501,1,0.117,0.0297,0.000127,0.103,0.494,123.988,Mood_Booster,Happy,1,0
28,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,THE ANXIETY,THE ANXIETY,64H8UqGLbJFHwKtGxiV8OP,['modern alternative pop'],162680,81,True,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,Mood_Booster,Happy,1,1
29,Celestial,4zrKN5Sv8JS5mqnbVcsul7,Celestial,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'uk pop']",209026,81,False,0.574,0.852,2,-1.248,1,0.0397,0.0529,0.0,0.161,0.501,123.038,Mood_Booster,Happy,1,0
31,Woke Up in Love,21H0pUV2uPIPcFnFhgTBjo,Woke Up in Love,Kygo,23fqKkggKUBHNkbKtXEls4,"['edm', 'pop', 'pop dance', 'tropical house']",216873,81,False,0.643,0.585,2,-5.994,1,0.0369,0.225,0.0,0.0927,0.188,106.015,Mood_Booster,Happy,1,0
32,Coast (feat. Anderson .Paak),1l4iQsOZ5sOXZPMQLvouaB,Coast,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",166720,80,False,0.701,0.875,11,-4.1,1,0.0757,0.0262,7.32e-06,0.137,0.84,111.976,Mood_Booster,Happy,1,0
33,Numb Little Bug,3o9kpgkIcffx0iSwxhuNI2,Numb Little Bug,Em Beihold,7o2ZQYM7nTsaVdkXY38UAA,"['alt z', 'gen z singer-songwriter']",169237,79,False,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,Mood_Booster,Happy,1,0
34,Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,Levitating (feat. DaBaby),Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"['dance pop', 'pop', 'uk pop']",203064,78,False,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,Mood_Booster,Happy,1,0
