,Name,Track_ID,Album,Artist,Artist_ID,Artist_Genre,Duration_ms,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Playlist
0,Because You Move Me,05GvwwTLLID738BbKN1ze0,Because You Move Me,Tinlicker,5EmEZjq8eHEC6qFnT63Lza,[],196375,76,False,0.789,0.435,2,-9.506,0,0.149,0.691,0.0418,0.107,0.166,122.995,Chill_Tracks
1,Escape (feat. Hayla),10oKSzRcwbZsog2uq2gb4b,Escape (feat. Hayla),Kx5,2avRYQUWQpIkzJOEkf0MdY,[],240445,74,False,0.66,0.799,9,-6.934,0,0.0719,0.179,0.000364,0.701,0.148,126.08,Chill_Tracks
2,Rebirth,4Xz2mxHREzWiEr0AyCJuU6,In Another Lifetime,Tinlicker,5EmEZjq8eHEC6qFnT63Lza,[],284563,63,False,0.541,0.911,8,-7.152,1,0.0556,0.0154,0.136,0.121,0.026,123.968,Chill_Tracks
3,The Last Goodbye (feat. Bettye LaVette),4XeIiGpUBshIfs9yrBDVZC,The Last Goodbye (feat. Bettye LaVette),ODESZA,21mKp7DqtSNHhCAU2ugvUw,"['chillwave', 'ninja']",358983,73,False,0.667,0.92,9,-2.71,1,0.0773,0.00752,0.00232,0.126,0.146,114.977,Chill_Tracks
4,Salta,5L8R2cyft2HfQ1IlfVAbcz,"Something, Everything",Sultan + Shepard,14Tg9FvbNismPR1PJHxRau,"['canadian electronic', 'edm', 'progressive house', 'tropical house']",222250,63,False,0.653,0.604,7,-10.177,0,0.0327,0.0448,0.908,0.255,0.0768,119.98,Chill_Tracks
5,Marea (we’ve lost dancing),5Z8Dj3LtbyCMiwE86rhg2f,Actual Life (April 14 - December 17 2020),Fred again..,4oLeXFyACqeem2VImYeBFe,[],285375,71,False,0.761,0.781,5,-6.778,0,0.141,0.0681,0.108,0.0607,0.473,123.023,Chill_Tracks
6,Demons - Massane Remix,0WGelFYfITJmfOnNyhRUq7,Demons,Jerro,1WHFu22zN1C6F11Z1rt12K,['tropical house'],243176,70,True,0.663,0.499,2,-9.88,0,0.0328,0.483,0.0328,0.0884,0.141,121.959,Chill_Tracks
7,Matter of Time (feat. Alex Maher),4BmPTpXnae3IwwXAcK0byT,Matter of Time (feat. Alex Maher),Vandelux,2rdSCmWgrIWA8pmwhS1T2k,['tropical house'],240009,69,False,0.699,0.519,7,-8.623,1,0.0566,0.106,0.16,0.115,0.0522,115.066,Chill_Tracks
8,UUUU,46OIVHWlExMXlqYRCpkEYd,UUUU,WhoMadeWho,50Lr1puweM1hFsF1LpIZLM,"['alternative dance', 'dance-punk', 'danish indie', 'electronica', 'experimental pop', 'microhouse', 'new rave']",389800,60,False,0.679,0.915,0,-10.554,1,0.0458,0.00992,0.795,0.0925,0.106,124.005,Chill_Tracks
9,Inner Light,40tPP3K10yMZxwnT65REKj,Inner Light,Elderbrook,2vf4pRsEY6LpL5tKmqWb64,"['house', 'tropical house']",257984,68,False,0.651,0.709,4,-7.842,1,0.037,0.00461,0.00744,0.0771,0.126,121.02,Chill_Tracks
10,The Best Part,04BNQFaBlFF7WDeTb1V0AP,The Best Part,gardenstate,1XcPIHqirx1Jaxm2bAxMeV,['progressive house'],250000,67,False,0.688,0.654,4,-8.521,1,0.0493,0.0203,0.251,0.117,0.59,123.011,Chill_Tracks
11,Breathing,1MvLmHeLkaNgUScgbUVnWJ,Breathing,Ben Böhmer,5tDjiBYUsTqzd0RkTZxK7u,['tropical house'],222605,67,False,0.598,0.561,11,-11.421,0,0.0511,0.0229,0.557,0.109,0.0385,182.988,Chill_Tracks
12,Crazy,3h0tEwAyOCQDa4X8NEcy0Q,Crazy,PLÜM,4NTnwCK3RqTBH7TFIQrkfL,"['new french touch', 'tropical house']",220000,67,False,0.769,0.596,7,-9.359,0,0.0524,0.0487,0.00803,0.204,0.259,105.032,Chill_Tracks
13,One Last Dance,1nV6VafLPuRSsXgbDY3i6L,One Last Dance,Audien,4xnMDfgEmXZEEDdITKcGuE,"['edm', 'electro house', 'electropop', 'pop dance', 'pop edm', 'progressive house', 'tropical house']",184000,66,False,0.713,0.719,4,-6.972,1,0.0455,0.164,0.0335,0.0853,0.24,119.993,Chill_Tracks
14,In Control - Innellea Remix,35fdRgZrz5ujDGBaqhoPE8,In Control (Innellea Remix),Forma,1lmP325N7mFdhDOl7tMfpL,[],345135,55,False,0.679,0.568,0,-7.097,1,0.0358,0.0447,0.709,0.067,0.0636,120.002,Chill_Tracks
15,Feel Your Weight - Poolside Remix,1hgX0ZmmP7IRRjUFCIBrnQ,Blood Remixed,Rhye,2AcUPzkVWo81vumdzeLLRN,"['downtempo', 'indie soul', 'indietronica', 'shimmer pop']",310133,66,False,0.741,0.592,6,-9.059,0,0.0308,0.665,0.854,0.116,0.822,111.984,Chill_Tracks
16,Run,0VLaaS481wSlMnf6UEQnJM,Run,NORRA,41TOmzyp8cryPs7PXHKdb7,['new french touch'],191420,54,False,0.745,0.672,10,-10.484,0,0.05,0.177,0.874,0.153,0.0894,124.008,Chill_Tracks
17,Howl,3360fzHkXtFCGSnTpyBMRA,Howl,Elderbrook,2vf4pRsEY6LpL5tKmqWb64,"['house', 'tropical house']",257430,67,False,0.634,0.659,4,-7.143,1,0.0263,0.373,0.00325,0.161,0.38,126.977,Chill_Tracks
18,Until We Leave the Ground - Steve James Remix,6PEbPKn0niL8xAQdUTBEfq,Until We Leave the Ground (Steve James Remix),Emmit Fenn,3VVLqeEqQQqTgT8YhfY9Z6,"['electropop', 'tropical house', 'vapor soul']",197419,54,False,0.744,0.577,0,-9.599,0,0.0385,0.0448,0.0652,0.111,0.321,124.005,Chill_Tracks
