,Name,Track_ID,Album,Artist,Artist_ID,Artist_Genre,Duration_ms,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Playlist
0,Super Freaky Girl,4C6Uex2ILwJi9sZXRdmqXp,Super Freaky Girl,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",170977,93,True,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,BBE
1,Her,5hHvFrMnwic82WwRLr4WY0,Traumazine,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,"['dance pop', 'houston rap', 'pop', 'rap', 'trap queen']",137107,78,True,0.945,0.848,1,-4.76,1,0.326,0.374,3.31e-05,0.101,0.819,119.918,BBE
2,Unholy (feat. Kim Petras),3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),Sam Smith,2wY79sveU1sp5g7SokKOiI,"['dance pop', 'pop', 'uk pop']",156943,97,False,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,BBE
3,BIG MAD,0bspC5fLlWgwCM6Rx1YUIh,BIG MAD,Ktlyn,6FaLegXtqjGZBH5VFrOlwG,[],143111,69,True,0.958,0.523,8,-6.1,1,0.0591,0.0293,0.0,0.106,0.309,102.039,BBE
4,Tomorrow 2 (with Cardi B),7KXVIAuw3m2hxZanrpSXS3,Tomorrow 2 (with Cardi B),GloRilla,2qoQgPAilErOKCwE2Y8wOG,[],209811,77,True,0.791,0.818,0,-3.93,1,0.406,0.0695,0.0,0.114,0.693,159.922,BBE
5,Toxic,6I9VzXrHxO9rA9A5euc8Ak,In The Zone,Britney Spears,26dSoYclwsYLMAKD3tpOr4,"['dance pop', 'pop']",198800,82,False,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,BBE
6,Get Into It (Yuh),0W6I02J9xcqK8MtSeosEXb,Planet Her,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,"['dance pop', 'pop']",138293,81,True,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,BBE
7,Perfect,44AlUStg32yZ3xwhhrUGxq,Mani/Pedi,Baby Tate,3IJ21966TwNZI24MwZHMu4,"['alternative r&b', 'escape room', 'pop', 'rap', 'trap queen', 'viral rap']",172793,57,True,0.933,0.689,10,-5.3,0,0.227,0.101,0.00215,0.0627,0.812,146.008,BBE
8,Booty (feat. Latto),3Ca24oa8tofPtGYuULHXHI,Booty (feat. Latto),Saucy Santana,2NfwGBr2swqZ1rzE3kAV23,"['rap', 'trap queen', 'viral rap']",146666,68,True,0.876,0.563,9,-6.035,0,0.171,0.16,0.0,0.365,0.711,108.045,BBE
9,CUFF IT,1xzi1Jcr7mEi9K2RfzLOqS,RENAISSANCE,Beyoncé,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",225388,90,True,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,BBE
10,W.I.T.C.H.,5XemvyG79fcKPl5lgbhplq,W.I.T.C.H.,Devon Cole,1VFt2HpmFG8Ufq6SDCoZe4,[],132133,76,False,0.868,0.66,7,-3.834,1,0.0526,0.104,0.0,0.0755,0.963,121.925,BBE
11,STRUT,749rod7GCmj0OVdumGfzVq,STRUT,EMELINE,4S38gbKfKkEbty2YAIDIlV,['alt z'],117727,70,True,0.842,0.715,11,-5.906,0,0.0696,0.0419,2.58e-05,0.112,0.326,107.952,BBE
