,Name,Track_ID,Album,Artist,Artist_ID,Artist_Genre,Duration_ms,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Playlist
0,Heat Waves,6CDzDgIUqeDY5g8ujExx2f,Heat Waves,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,"['gauze pop', 'indietronica', 'shiver pop']",238805,85,False,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,You_and_Me
1,You're Somebody Else,0pdKRp2sUthTPe7RLWpPqQ,You're Somebody Else,flora cash,6GpcBKNmZDIrRzYkPJu7Wd,"['indie pop', 'scandipop', 'swedish indie folk']",218883,75,False,0.713,0.452,1,-9.638,1,0.0295,0.841,0.0038,0.105,0.235,102.963,You_and_Me
2,Call Me Lover,4Pg6x9W2ziSJh5iym9XRTB,Hypersonic Missiles,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,"['modern rock', 'north east england indie']",201106,60,False,0.505,0.599,8,-4.724,0,0.0376,0.177,0.0,0.078,0.467,86.084,You_and_Me
3,You Get Me So High,7zwn1eykZtZ5LODrf7c0tS,Hard To Imagine The Neighbourhood Ever Changing,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",153000,83,False,0.551,0.881,7,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,You_and_Me
4,I Found,4lRuRtvftdSSUA7hLP7zAr,Pilot EP,Amber Run,0MmnmsAuQKRFpo6vJElcaU,['indie folk'],274226,60,False,0.28,0.317,7,-12.433,0,0.0474,0.879,0.00731,0.108,0.236,186.471,You_and_Me
5,Fade Into You,1LzNfuep1bnAUR9skqdHCK,So Tonight That I Might See,Mazzy Star,37w38cCSGgKLdayTRjna4W,"['alternative rock', 'art pop', 'dream pop', 'melancholia', 'rock', 'shoegaze', 'slowcore']",295600,79,False,0.42,0.33,9,-13.925,1,0.0275,0.245,0.000679,0.0677,0.175,157.143,You_and_Me
6,Call Me Back,14KP6cmTImZmrcAC5m0Azd,Mirror Master,Young the Giant,4j56EQDQu5XnL7R3E9iFJT,"['modern alternative rock', 'modern rock', 'rock']",237746,57,False,0.75,0.365,7,-6.741,1,0.0372,0.202,0.0082,0.122,0.101,89.981,You_and_Me
7,Adore,1rPCgtaIF0CyKRgAwhtpbF,Adore,Amy Shark,2DORQjKJVYZMx9uu82UGtT,['australian pop'],184999,57,False,0.592,0.438,1,-10.054,1,0.0391,0.193,0.0,0.0564,0.259,67.445,You_and_Me
8,twin flame,4pR5ZEROnKQpJttWNn5er6,mainstream sellout,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,"['ohio hip hop', 'pop', 'pop rap']",239212,69,False,0.402,0.27,0,-8.275,1,0.0342,0.46,0.0,0.235,0.123,140.036,You_and_Me
9,The Only Exception,7JIuqL4ZqkpfGKQhYlrirs,Brand New Eyes,Paramore,74XFHRwlV6OrjEM0A2NCMF,"['candy pop', 'pixie', 'pop emo', 'pop punk']",267653,74,False,0.452,0.563,4,-6.607,1,0.0272,0.144,0.0,0.143,0.209,137.715,You_and_Me
