,Name,Track_ID,Album,Artist,Artist_ID,Artist_Genre,Duration_ms,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Playlist
0,Another Love,3JvKfv6T31zO0ini8iNItO,Long Way Down (Deluxe),Tom Odell,2txHhyCwHjUEpJjWrEyqyX,"['chill pop', 'pop']",244360,93,True,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,Life_Sucks
1,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"['art pop', 'electropop', 'pop']",200185,89,False,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,Life_Sucks
2,I'm Not The Only One,7795WJLVKJoAyVoOtCWqXN,In The Lonely Hour,Sam Smith,2wY79sveU1sp5g7SokKOiI,"['dance pop', 'pop', 'uk pop']",239316,88,False,0.677,0.485,5,-5.795,1,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,Life_Sucks
3,Running Up That Hill (A Deal With God) - 2018 Remaster,29d0nY7TzCoi22XBqDQkiP,Hounds of Love (2018 Remaster),Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",300840,87,False,0.625,0.533,10,-11.903,0,0.0596,0.659,0.00266,0.0546,0.139,108.296,Life_Sucks
4,Heather,4xqrdfXkTW4T0RauPLv3WA,Kid Krow,Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,"['bedroom pop', 'pop']",198040,87,False,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,Life_Sucks
5,august,3hUxzQpSfdDqwM3ZTFQY0K,folklore,Taylor Swift,06HL4z0CvFAxyc27GXpf02,['pop'],261922,87,False,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,Life_Sucks
6,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,Unorthodox Jukebox,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop']",213826,86,False,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,Life_Sucks
7,In The Stars,1ei3hzQmrgealgRKFxIcWn,In The Stars,Benson Boone,22wbnEMDvgVIAGdFeek6ET,['pop'],216410,86,False,0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007,Life_Sucks
8,Memories,4cktbXiXOapiLBMprHFErI,JORDI (Deluxe),Maroon 5,04gDigrS5kc9YWfZHwBETP,['pop'],189486,86,False,0.775,0.327,11,-7.241,1,0.0557,0.841,0.0,0.0821,0.595,91.05,Life_Sucks
9,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"['art pop', 'electropop', 'pop']",245425,86,False,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,Life_Sucks
10,Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,x (Deluxe Edition),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'uk pop']",258986,85,False,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,Life_Sucks
11,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,Red (Taylor's Version),Taylor Swift,06HL4z0CvFAxyc27GXpf02,['pop'],613026,85,True,0.631,0.518,0,-8.771,1,0.0303,0.274,0.0,0.088,0.205,93.023,Life_Sucks
12,Sign of the Times,5Ohxk2dO5COHF1krpoPigN,Harry Styles,Harry Styles,6KImCVD70vtIoJWnq6nGn3,['pop'],340706,85,False,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,Life_Sucks
13,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,X&Y,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",295533,84,False,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,Life_Sucks
14,you broke me first,45bE4HXI0AwGZXfZtMp8JR,you broke me first,Tate McRae,45dkTj5sMRSjrmBSBeiHym,"['pop', 'uk pop']",169265,84,True,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,Life_Sucks
15,Car's Outside,0otRX6Z89qKkHkQ9OqJpKt,YOU,James Arthur,4IWBUUAFIplrNtaOHcJPRM,"['pop', 'talent show', 'uk pop']",248373,84,False,0.338,0.562,9,-7.181,1,0.029,0.039,0.0,0.107,0.259,149.907,Life_Sucks
16,death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),Powfu,6bmlMHgSheBauioMgKv2tn,['sad rap'],173333,83,False,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,Life_Sucks
17,All I Want,0NlGoUyOJSuSHmngoibVAs,In A Perfect World (Expanded Edition),Kodaline,4BxCuXFJrSWGi1KHcVqaU4,"['irish pop', 'pop', 'pop rock', 'uk pop']",305746,82,False,0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,Life_Sucks
18,when the party's over,43zdsphuZLzwA9k4DJhU0I,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"['art pop', 'electropop', 'pop']",196077,84,False,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,Life_Sucks
19,Fourth of July,5Qnrgqy1pAm9GyNQOgyVFz,Carrie & Lowell,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,"['baroque pop', 'chamber pop', 'pop', 'singer-songwriter']",279316,81,False,0.435,0.104,6,-22.39,0,0.0445,0.973,0.33,0.119,0.162,120.484,Life_Sucks
20,You Are The Reason,69vToJ9BMbbLlFZo7k7A7B,Only Human (Deluxe),Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,"['neo mellow', 'pop', 'uk pop']",204326,81,False,0.329,0.235,10,-7.699,1,0.0303,0.918,0.0,0.137,0.22,171.006,Life_Sucks
21,Maniac,6KfoDhO4XUWSbnyKjNp9c4,Kid Krow,Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,"['bedroom pop', 'pop']",185773,81,False,0.628,0.639,8,-5.46,1,0.0435,0.00162,0.0,0.354,0.493,108.045,Life_Sucks
22,Ivy,2ZWlPOoWh0626oTaHrnl2a,Blonde,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",249191,81,True,0.575,0.386,9,-9.584,0,0.037,0.785,0.000289,0.229,0.466,116.408,Life_Sucks
23,Train Wreck,55Am8neGJkdj2ADaM3aw5H,Back from the Edge,James Arthur,4IWBUUAFIplrNtaOHcJPRM,"['pop', 'talent show', 'uk pop']",208826,81,False,0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355,Life_Sucks
24,Pacify Her,360Wr96ywrCQq4kTAJ8Pq6,Cry Baby (Deluxe Edition),Melanie Martinez,63yrD80RY3RNEM2YDpUpO8,"['alt z', 'electropop', 'pop']",220013,81,False,0.576,0.593,9,-6.024,0,0.0306,0.0467,0.000767,0.237,0.373,157.993,Life_Sucks
25,Dancing On My Own,2BOqDYLOJBiMOXShCV1neZ,Only Human (Deluxe),Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,"['neo mellow', 'pop', 'uk pop']",260285,81,False,0.681,0.174,1,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672,Life_Sucks
26,Happier,2RttW7RAu5nOAfq6YFvApB,÷ (Deluxe),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'uk pop']",207520,81,False,0.522,0.385,0,-7.355,1,0.0288,0.536,0.0,0.135,0.236,89.792,Life_Sucks
27,If I Ain't Got You,3XVBdLihbNbxUwZosxcGuJ,The Diary Of Alicia Keys,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",228706,81,False,0.609,0.444,7,-9.129,1,0.106,0.603,6.86e-06,0.104,0.166,118.402,Life_Sucks
28,Let You Down,52okn5MNA47tk87PeZJLEL,Perception,NF,6fOMl44jA4Sp5b9PpYCkzz,"['hip hop', 'pop rap', 'rap']",212120,80,False,0.662,0.714,5,-5.68,0,0.121,0.312,0.0,0.179,0.464,147.997,Life_Sucks
29,Flowers,6Z165JvPnS8PYvGW8oLGLc,Flowers,Lauren Spencer Smith,79AyR6ATpj2LTPxfb6FX50,"['alt z', 'gen z singer-songwriter', 'pop', 'uk pop']",157373,80,True,0.684,0.449,3,-9.738,1,0.611,0.869,0.0,0.0881,0.341,66.165,Life_Sucks
30,Half A Man,1ugQtcwmKOXvKAYzhjncmv,A Place We Knew,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,"['australian pop', 'pop', 'uk pop']",179120,79,False,0.507,0.204,0,-11.575,1,0.0504,0.855,0.0,0.143,0.343,77.765,Life_Sucks
31,The Night We Met,0QZ5yyl6B6utIWkxeBDxQN,Strange Trails,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,"['indie folk', 'stomp and holler']",208211,79,False,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,Life_Sucks
32,Can I Be Him,0VhgEqMTNZwYL1ARDLLNCX,Back from the Edge,James Arthur,4IWBUUAFIplrNtaOHcJPRM,"['pop', 'talent show', 'uk pop']",246880,79,False,0.696,0.543,11,-6.164,1,0.0489,0.308,0.0,0.0939,0.479,107.969,Life_Sucks
33,Memories,7AYP21Q4qnxw2WxETEvSRb,Memories,Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,"['bedroom pop', 'pop']",248818,79,False,0.34,0.684,11,-6.306,1,0.044,0.00979,0.0,0.348,0.556,112.969,Life_Sucks
34,Like I'm Gonna Lose You (feat. John Legend),2YlZnw2ikdb837oKMKjBkW,Title (Deluxe),Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'uk pop']",225053,78,False,0.63,0.53,0,-7.259,1,0.0434,0.4,0.0,0.177,0.417,108.038,Life_Sucks
35,Hold Me While You Wait,60iSKGrGazRzICtMjADNSM,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,"['pop', 'uk pop']",205686,78,False,0.688,0.53,11,-5.507,1,0.0333,0.443,0.0,0.0995,0.162,106.958,Life_Sucks
36,"i hate u, i love u (feat. olivia o'brien)",7vRriwrloYVaoAe3a9wJHe,us,gnash,3iri9nBFs9e4wN7PLIetAw,['pop'],251033,78,True,0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6,Life_Sucks
37,Like I Want You,6qBFSepqLCuh5tehehc1bd,TAKE TIME,Giveon,4fxd5Ee7UefO4CUXgwJ7IP,"['pop', 'r&b']",260776,78,False,0.678,0.355,10,-7.757,0,0.0627,0.759,7.06e-05,0.114,0.438,119.772,Life_Sucks
38,listen before i go,0tMSssfxAL2oV8Vri0mFHE,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"['art pop', 'electropop', 'pop']",242652,78,False,0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764,Life_Sucks
39,You & I,2afCBiru10AFckfOa49wIa,Midnight Memories (Deluxe),One Direction,4AK6F7OLvEQ5QYCBNiQWHq,"['boy band', 'pop', 'post-teen pop', 'talent show']",237933,78,False,0.574,0.329,1,-6.829,1,0.0274,0.22,0.0,0.0986,0.356,130.993,Life_Sucks
40,Impossible,5yVIlYEHZxQVLyInCdldoS,James Arthur (Deluxe),James Arthur,4IWBUUAFIplrNtaOHcJPRM,"['pop', 'talent show', 'uk pop']",209440,78,False,0.376,0.695,0,-4.782,0,0.0933,0.135,0.0,0.11,0.302,169.533,Life_Sucks
41,Wish You Were Sober,0kn2gu8Pd03DiYHzRvX2Xk,Kid Krow,Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,"['bedroom pop', 'pop']",168880,79,True,0.701,0.728,2,-5.226,1,0.0468,0.0178,0.0,0.17,0.696,91.071,Life_Sucks
42,you were good to me,4CxFN5zON70B3VOPBYbd6P,brent,Jeremy Zucker,3gIRvgZssIb9aiirIg0nI3,"['electropop', 'pop']",219146,77,False,0.561,0.0848,2,-15.099,1,0.0404,0.913,2.62e-05,0.112,0.206,102.128,Life_Sucks
43,Little Do You Know,1almCHdsfikRPfVB9VrEdT,It's About Us,Alex & Sierra,58MLl9nC29IXbE4nEtuoP2,"['neo mellow', 'pop', 'post-teen pop', 'uk pop', 'viral pop']",185200,77,False,0.5,0.292,0,-8.554,1,0.0323,0.746,0.0,0.188,0.37,145.879,Life_Sucks
44,No Time To Die,73SpzrcaHk0RQPFP73vqVR,No Time To Die,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"['art pop', 'electropop', 'pop']",242265,77,False,0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.537,Life_Sucks
45,Control,50Td3qilgs8BLtv8mHyT1t,Control,Zoe Wees,03d2mJXSMtuPI0nIvLnhoS,"['german pop', 'uk pop']",230880,77,False,0.599,0.465,4,-4.95,1,0.0314,0.643,1.57e-06,0.149,0.0678,113.82,Life_Sucks
46,Jealous,4G92yYrUs0cvY7G41YRI0z,Jealous - EP,Labrinth,2feDdbD5araYcm6JhFHHw7,"['indie poptimism', 'pop']",287693,77,False,0.439,0.153,1,-8.95,1,0.0479,0.874,0.0,0.107,0.104,116.76,Life_Sucks
47,Forever,12OLyHDxt6dqlAybSPFBK3,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,"['pop', 'uk pop']",210863,77,False,0.646,0.355,1,-7.119,1,0.0263,0.873,0.0,0.115,0.364,84.988,Life_Sucks
48,idfc,6y6jbcPG4Yn3Du4moXaenr,deadroses,blackbear,2cFrymmkijnjDg9SS92EPM,"['electropop', 'pop', 'pop rap']",245172,76,True,0.63,0.5,1,-8.755,0,0.0611,0.611,4.04e-05,0.114,0.315,144.871,Life_Sucks
49,Let Her Go,1KxwZYyzWNyZSRyErj2ojT,All The Little Lights,Passenger,0gadJ2b9A4SKsB1RFkBb66,"['folk-pop', 'neo mellow']",252733,76,False,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.243,74.897,Life_Sucks
