,Name,Track_ID,Album,Artist,Artist_ID,Artist_Genre,Duration_ms,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Playlist,Mood,MoodR,ExplicitR
0,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,"['piano rock', 'pop', 'pop rock']",148485,97,False,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,Mood_Booster,Happy,1,0
1,As It Was,4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,6KImCVD70vtIoJWnq6nGn3,['pop'],167303,96,False,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,Mood_Booster,Happy,1,0
2,Left and Right (Feat. Jung Kook of BTS),0mBP9X2gPCuapvpZ7TGDk3,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,"['dance pop', 'pop', 'viral pop']",154486,93,False,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,Mood_Booster,Happy,1,0
3,SNAP,76OGwb5RA9h4FxQPT33ekc,SNAP,Rosa Linn,46xBNx0j6cwY6sD9LgMTm1,[],179551,93,False,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,Mood_Booster,Happy,1,0
4,Sunroof,4h4QlmocP3IuwYEj2j14p8,Sunroof,Nicky Youre,7qmpXeNz2ojlMl2EEfkeLs,[],163025,93,False,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443,Mood_Booster,Happy,1,0
5,I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,Twelve Carat Toothache,Post Malone,246dkjvS1zLTtiykXe5h60,"['dfw rap', 'melodic rap', 'rap']",192840,92,True,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,Mood_Booster,Happy,1,1
6,Dandelions,2eAvDnpXP5W0cVtiI0PUxV,Safe Haven,Ruth B.,2WzaAvm2bBCf4pEhyuDgCY,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",233720,91,False,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,Mood_Booster,Happy,1,0
8,About Damn Time,1PckUlxKqWQs3RlWXVBLw3,About Damn Time,Lizzo,56oDRnqbIiwx4mymNEv7dS,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",191822,90,True,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,Mood_Booster,Happy,1,1
9,Hold Me Closer,72yP0DUlWPyH8P7IoxskwN,Hold Me Closer,Elton John,3PhoLpVuITZKcymswpck5b,"['glam rock', 'mellow gold', 'piano rock']",202245,90,False,0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041,Mood_Booster,Happy,1,0
10,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,Harry's House,Harry Styles,6KImCVD70vtIoJWnq6nGn3,['pop'],177954,93,False,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,Mood_Booster,Happy,1,0
11,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,"['australian hip hop', 'pop']",141805,89,True,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,Mood_Booster,Happy,1,1
13,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']",148197,89,False,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,Mood_Booster,Happy,1,0
14,Shivers,50nfwKoDiSYg8zOCREWAm5,=,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'uk pop']",207853,89,False,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,Mood_Booster,Happy,1,0
15,Numb,10xV5l9nhLvFpR8mqzs0bL,Numb,Marshmello,64KEffDW9EtZ1y2vBYgq8T,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",155588,88,False,0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,Mood_Booster,Happy,1,0
16,Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,Cold Heart (PNAU Remix),Elton John,3PhoLpVuITZKcymswpck5b,"['glam rock', 'mellow gold', 'piano rock']",202735,89,False,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,Mood_Booster,Happy,1,0
17,Bam Bam (feat. Ed Sheeran),0QBzMgT7NIeoCYy3sJCof1,Bam Bam (feat. Ed Sheeran),Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",206070,88,False,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,Mood_Booster,Happy,1,0
